19/06 00:31:00 FINE sim.Admin|Log for simulation 1 started
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.00461571771673793
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 2.8211099074559986E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 1.7058172817957806E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.002868066866031622
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.0059153861559254756
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 3.2142487599200984E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.002332715599803281
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 2.1356380532915655E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.0014883344274672114
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.0017486406707054045
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 7.146724035137875E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.006055099551616274
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 7.556596879766688E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 5.172978101169616E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.0013927404214720488
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.00471154445502308
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.003796250394009247
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.0011699502835976433
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 8.113570464698903E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0023529069448544665
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.005505066731597531
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 5.912248041382024E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.0021018691311345625
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 5.620111029491985E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.002072469603396424
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 1.9152121523543787E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 9.106751960835544E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.0013981304679131033
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 8.37690603310538E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 3.6561584400629733E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 1.8128012212931296E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 5.94486555898515E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0016719041659231605
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 1.0362222302587612E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 4.4049359725069784E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0017620492955577032
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 3.510456169580108E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.005158933128423792
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 3.7207728447436063E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 8.911430570175364E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.0011616756761760692
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 9.951830773598206E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 5.682340644656907E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.004999463015587709
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 1.0354532669844288E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.0014419195090549998
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 4.2645198006614776E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.004375988734283362
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0034314394836919516
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.0017131612337302528
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 7.406546709324061E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0031731960932614056
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 2.0261126301460492E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.0038972986851549237
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 4.4261508947424967E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0010134287063597817
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 4.690960518006031E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 3.8238761285918325E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 3.440554495582399E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.00241001199528905
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 1.224050990089896E-6
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 5.781035157122266E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 1.0451563082199183E-5
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0026662103804298972
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 7.394981361746026E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 5.93397905781372E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 2.214078077187016E-7
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0021805448443176782
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 1.1710860925866819E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.004218193814287023
19/06 00:35:30 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 5.952174831085869E-4
19/06 00:35:30 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
19/06 00:35:30 SEVERE demand.CampaignImpl|Campaign #2103337586 impressed while over limit. Current cost: 1.0429339887634863 Budget limit: 4.66
19/06 00:35:30 INFO agents.DemandAgent|Posting DIRECTLY to CampaignLimitReached to the event bus for campaign #2103337586 advertiser name: DummyAdnetwork-5
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is adv1
19/06 00:35:30 INFO agents.DemandAgent|Posting CampaignLimitReached to the event bus for campaign #2103337586 advertiser name: DummyAdnetwork-5
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is adv1
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #2103337586 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #2103337586 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 SEVERE demand.CampaignImpl|Campaign #858754421 impressed while over limit. Current cost: 2.3297937288047537E-5 Budget limit: 0.451
19/06 00:35:30 INFO agents.DemandAgent|Posting DIRECTLY to CampaignLimitReached to the event bus for campaign #858754421 advertiser name: DummyAdnetwork
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is adv1
19/06 00:35:30 INFO agents.DemandAgent|Posting CampaignLimitReached to the event bus for campaign #858754421 advertiser name: DummyAdnetwork
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is adv1
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #858754421 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #858754421 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 SEVERE demand.CampaignImpl|Campaign #1815162764 impressed while over limit. Current cost: 1.6532978305760784E-6 Budget limit: 4.897
19/06 00:35:30 INFO agents.DemandAgent|Posting DIRECTLY to CampaignLimitReached to the event bus for campaign #1815162764 advertiser name: DummyAdnetwork-7
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is adv1
19/06 00:35:30 INFO agents.DemandAgent|Posting CampaignLimitReached to the event bus for campaign #1815162764 advertiser name: DummyAdnetwork-7
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is adv1
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-5
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-6
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-4
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-7
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-2
19/06 00:35:30 SEVERE tracker.AdxBidTrackerImpl|Limit request was already sent today to stop bidding for campaign #1815162764 due to limit
19/06 00:35:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for campaign #1815162764 due to limit. My name is DummyAdnetwork-3
19/06 00:35:30 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 49
19/06 00:35:30 INFO sim.Simulation|***** START OF TIME 27 COMPLETE *****
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.16325061229558352 Cmp ID: 622189545 Cmp Bid: 3124
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.19944317325316602 Cmp ID: 622189545 Cmp Bid: 951
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.12540611290014683 Cmp ID: 622189545 Cmp Bid: 950
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.12862480573433097 Cmp ID: 622189545 Cmp Bid: 1676
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.19648007095902878 Cmp ID: 622189545 Cmp Bid: 122
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.18689428044928097 Cmp ID: 622189545 Cmp Bid: 1308
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.11767189899857033 Cmp ID: 622189545 Cmp Bid: 641
19/06 00:35:30 FINE agents.DemandAgent|Day 27 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13485621454962843 Cmp ID: 622189545 Cmp Bid: 2311
19/06 00:35:40 INFO sim.Simulation|***** START OF TIME 28 *****
19/06 00:35:40 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #858754421 at price 0.451
19/06 00:35:40 INFO demand.CampaignImpl|Applied daily limit for campaign #858754421 at price 0.451
19/06 00:35:40 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1562850167 at price 0.414
19/06 00:35:40 INFO demand.CampaignImpl|Applied daily limit for campaign #1562850167 at price 0.414
19/06 00:35:40 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #774094139 at price 1.335
19/06 00:35:40 INFO demand.CampaignImpl|Applied daily limit for campaign #774094139 at price 1.335
19/06 00:35:40 INFO agents.DemandAgent|Day 28 : Auction pending campaign: CampaignImpl [id=622189545, reachImps=3631, dayStart=29, dayEnd=33, targetSegment=[MALE, LOW_INCOME], videoCoef=2.074897206814797, mobileCoef=1.829155931402311, budgetMillis=0, advertiser=null]
19/06 00:35:40 INFO demand.CampaignImpl|Campaign 1815162764 ended for advertiser DummyAdnetwork-7. Stats CampaignStats [tartgetedImps=9611.186453013406, otherImps=0.0, cost=4.899255039747132] Reach 9604 ERR 1.0007082591588101 Budget 4.897 Revenue 4.900468345100694
19/06 00:35:40 FINE agents.DemandAgent|Day 28 :Quality Ratings... Quality Retings DummyAdnetwork: 1.1540349524503082DummyAdnetwork-7: 1.0752510891266045DummyAdnetwork-6: 1.0592977685877742adv1: 1.1082787373560437DummyAdnetwork-5: 0.7616927091451099DummyAdnetwork-4: 0.9466518500741132DummyAdnetwork-3: 0.4305001334887091DummyAdnetwork-2: 0.4
19/06 00:35:40 FINE agents.DemandAgent|Day 28 :Reporting campaign auction results... CampaignImpl [id=622189545, reachImps=3631, dayStart=29, dayEnd=33, targetSegment=[MALE, LOW_INCOME], videoCoef=2.074897206814797, mobileCoef=1.829155931402311, budgetMillis=1465, advertiser=DummyAdnetwork-7]
